"","x"
"1","PFE US Equity"
"2","VPHM US Equity"
"3","ALXN US Equity"
"4","BIIB US Equity"
"5","GILD US Equity"
"6","MRK US Equity"
"7","NOVN VX Equity"
"8","BMY US Equity"
"9","JNJ US Equity"
"10","LLY US Equity"
"11","AMGN US Equity"
"12","FRX US Equity"
"13","SAN FP Equity"
"14","ATLN SW Equity"
"15","ALGN US Equity"
"16","1284849D US Equity"
"17","GSK LN Equity"
"18","EW US Equity"
"19","ILMN US Equity"
"20","BSX US Equity"
"21","AZN LN Equity"
"22","ISRG US Equity"
"23","BAYN GR Equity"
"24","STJ US Equity"
"25","A US Equity"
"26","MRK GR Equity"
"27","1255459D US Equity"
"28","ABT US Equity"
"29","MDT US Equity"
"30","NOBN SW Equity"
"31","BAX US Equity"
"32","AFX GR Equity"
"33","THC US Equity"
"34","AGN US Equity"
"35","HSP US Equity"
"36","PHIA NA Equity"
"37","DHR US Equity"
"38","MYL US Equity"
"39","COV US Equity"
"40","SYK US Equity"
"41","SAZ GR Equity"
"42","ZBH US Equity"
"43","GRF SM Equity"
"44","DRW3 GR Equity"
"45","FRE GR Equity"
"46","RHK GR Equity"
"47","FME GR Equity"
"48","ROG VX Equity"
"49","NOVOB DC Equity"
"50","UNH US Equity"
"51","ESRX US Equity"
"52","CELG US Equity"
"53","TMO US Equity"
"54","MCK US Equity"
"55","EI FP Equity"
"56","ANTM US Equity"
"57","VRX CN Equity"
"58","SHP LN Equity"
"59","REGN US Equity"
"60","AET US Equity"
"61","BDX US Equity"
"62","CI US Equity"
"63","CAH US Equity"
"64","HCA US Equity"
"65","COLOB DC Equity"
"66","HUM US Equity"
"67","DVA US Equity"
"68","UCB BB Equity"
"69","ABC US Equity"
"70","SN/ LN Equity"
"71","PRGO US Equity"
"72","CCT CN Equity"
"73","DGX US Equity"
"74","VRTX US Equity"
"75","LH US Equity"
"76","GETIB SS Equity"
"77","BCR US Equity"
"78","VAR US Equity"
"79","WAT US Equity"
"80","SOON VX Equity"
"81","HSIC US Equity"
"82","PLL US Equity"
"83","CFN US Equity"
"84","BMRN US Equity"
"85","EKTAB SS Equity"
"86","RMD US Equity"
"87","MTD US Equity"
"88","XRAY US Equity"
"89","HOLX US Equity"
"90","IDXX US Equity"
"91","WDH DC Equity"
"92","UHS US Equity"
"93","COO US Equity"
"94","QGEN US Equity"
"95","ORNBV FH Equity"
"96","PCYC US Equity"
"97","OCR US Equity"
"98","MD US Equity"
"99","MDVN US Equity"
"100","VIFN VX Equity"
"101","BIM FP Equity"
"102","PDCO US Equity"
"103","PKI US Equity"
"104","SIRO US Equity"
"105","ARIA US Equity"
"106","CVD US Equity"
"107","MEDAA SS Equity"
"108","BKD US Equity"
"109","JAZZ US Equity"
"110","RICHT HB Equity"
"111","ENDP US Equity"
"112","BIO US Equity"
"113","CLS1 GR Equity"
"114","TFX US Equity"
"115","LUN DC Equity"
"116","LONN VX Equity"
"117","CYH US Equity"
"118","GN DC Equity"
"119","SGEN US Equity"
"120","UTHR US Equity"
"121","CBST US Equity"
"122","IPN FP Equity"
"123","BRKR US Equity"
"124","TECH US Equity"
"125","ALKS US Equity"
"126","HMA US Equity"
"127","SLXP US Equity"
"128","ORP FP Equity"
"129","KRKG SV Equity"
"130","CPHD US Equity"
"131","DIA IM Equity"
"132","MYGN US Equity"
"133","THOR US Equity"
"134","INCY US Equity"
"135","INVA US Equity"
"136","CNC US Equity"
"137","HAE US Equity"
"138","WCG US Equity"
"139","1339679D US Equity"
"140","STE US Equity"
"141","HLS US Equity"
"142","PHST RM Equity"
"143","THR BB Equity"
"144","HNT US Equity"
"145","ARNA US Equity"
"146","TMH US Equity"
"147","STMN SW Equity"
"148","REC IM Equity"
"149","WST US Equity"
"150","LPNT US Equity"
"151","WOOF US Equity"
"152","CRL US Equity"
"153","OMI US Equity"
"154","BTG LN Equity"
"155","PRXL US Equity"
"156","HRC US Equity"
"157","ALM SM Equity"
"158","VIRP FP Equity"
"159","ICLR US Equity"
"160","DIM FP Equity"
"161","SRT GR Equity"
"162","INFI US Equity"
"163","QCOR US Equity"
"164","SOBI SS Equity"
"165","ALR US Equity"
"166","CYBX US Equity"
"167","LIVN US Equity"
"168","OPK US Equity"
"169","AIRM US Equity"
"170","IPXL US Equity"
"171","MGLN US Equity"
"172","VVUS US Equity"
"173","SEM US Equity"
"174","CHE US Equity"
"175","MDCO US Equity"
"176","AKRX US Equity"
"177","VOLC US Equity"
"178","MOH US Equity"
"179","ABC LN Equity"
"180","HTWR US Equity"
"181","MASI US Equity"
"182","IRWD US Equity"
"183","ALGETA NO Equity"
"184","ACHC US Equity"
"185","LXRX US Equity"
"186","GEVA US Equity"
"187","ESC US Equity"
"188","AMP IM Equity"
"189","NEOG US Equity"
"190","UDG LN Equity"
"191","IMGN US Equity"
"192","SRN IM Equity"
"193","IONS US Equity"
"194","IART US Equity"
"195","SYR LN Equity"
"196","PODD US Equity"
"197","PBH US Equity"
"198","ACOR US Equity"
"199","MDAS US Equity"
"200","PDLI US Equity"
"201","ARTC US Equity"
"202","TECN SW Equity"
"203","ALNY US Equity"
"204","MDCA FP Equity"
"205","AMSG US Equity"
"206","EVHC US Equity"
"207","GMED US Equity"
"208","DXCM US Equity"
"209","HNGR US Equity"
"210","MDMG LI Equity"
"211","AUXL US Equity"
"212","ALOG US Equity"
"213","MOR GR Equity"
"214","ICUI US Equity"
"215","ELGX US Equity"
"216","PLB CN Equity"
"217","NKTR US Equity"
"218","DPH LN Equity"
"219","EXEL US Equity"
"220","GHDX US Equity"
"221","VIVO US Equity"
"222","1321686D US Equity"
"223","ABAX US Equity"
"224","CNMD US Equity"
"225","NPSP US Equity"
"226","SRPT US Equity"
"227","BIO GR Equity"
"228","YPSN SW Equity"
"229","GENP FP Equity"
"230","AB FP Equity"
"231","UAM US Equity"
"232","HALO US Equity"
"233","BOI FP Equity"
"234","GDS FP Equity"
"235","WMGI US Equity"
"236","LMNX US Equity"
"237","ALKB DC Equity"
"238","ALCAR FP Equity"
"239","SNTS US Equity"
"240","GEN DC Equity"
"241","OSSR IR Equity"
"242","EXAS US Equity"
"243","NUVA US Equity"
"244","SPPI US Equity"
"245","NXTM US Equity"
"246","IPCM US Equity"
"247","EXE CN Equity"
"248","NHC US Equity"
"249","IDIX US Equity"
"250","AEGR US Equity"
"251","FAGR BB Equity"
"252","ITMN US Equity"
"253","QDEL US Equity"
"254","BIOS US Equity"
"255","MNTA US Equity"
"256","KORI FP Equity"
"257","MMSI US Equity"
"258","ENSG US Equity"
"259","ACTI SS Equity"
"260","KND US Equity"
"261","EBS US Equity"
"262","MACK US Equity"
"263","PCRX US Equity"
"264","MNKD US Equity"
"265","ICPT US Equity"
"266","GLPG NA Equity"
"267","KYTH US Equity"
"268","ITGR US Equity"
"269","BANB SW Equity"
"270","PBYI US Equity"
"271","ABMD US Equity"
"272","CSU US Equity"
"273","IVC US Equity"
"274","SPNC US Equity"
"275","DVAX US Equity"
"276","1403366D SW Equity"
