"","x"
"1","AXDX US Equity"
"2","MNKD US Equity"
"3","KERX US Equity"
"4","NLNK US Equity"
"5","ONVO US Equity"
"6","AVNR US Equity"
"7","GERN US Equity"
"8","INFI US Equity"
"9","LXRX US Equity"
"10","ROG VX Equity"
"11","ARIA US Equity"
"12","CLDX US Equity"
"13","INVA US Equity"
"14","NBIX US Equity"
"15","ACAD US Equity"
"16","HZNP US Equity"
"17","SRPT US Equity"
"18","EXAS US Equity"
"19","ARNA US Equity"
"20","OREX US Equity"
"21","NPSP US Equity"
"22","OPK US Equity"
"23","HALO US Equity"
"24","BSLN SW Equity"
"25","AEGR US Equity"
"26","JNJ US Equity"
"27","VRTX US Equity"
"28","NKTR US Equity"
"29","PCYC US Equity"
"30","XON US Equity"
"31","SGMO US Equity"
"32","IONS US Equity"
"33","GILD US Equity"
"34","PFE US Equity"
"35","NOVN VX Equity"
"36","THC US Equity"
"37","UNH US Equity"
"38","INCY US Equity"
"39","SGEN US Equity"
"40","ESRX US Equity"
"41","EVT GR Equity"
"42","CELG US Equity"
"43","CNC US Equity"
"44","REGN US Equity"
"45","SAN FP Equity"
"46","BIIB US Equity"
"47","MRK US Equity"
"48","WCG US Equity"
"49","HCA US Equity"
"50","AUXL US Equity"
"51","NOVOB DC Equity"
"52","MDVN US Equity"
"53","MCK US Equity"
"54","JAZZ US Equity"
"55","BAYN GR Equity"
"56","ALXN US Equity"
"57","PRTA US Equity"
"58","AET US Equity"
"59","CCT CN Equity"
"60","MYGN US Equity"
"61","ANTM US Equity"
"62","AMGN US Equity"
"63","BMY US Equity"
"64","CI US Equity"
"65","ABBV US Equity"
"66","STMN SW Equity"
"67","HUM US Equity"
"68","ENDP US Equity"
"69","GSK LN Equity"
"70","MDCO US Equity"
"71","RHK GR Equity"
"72","UCB BB Equity"
"73","ILMN US Equity"
"74","BMRN US Equity"
"75","ALGN US Equity"
"76","VIFN VX Equity"
"77","CAH US Equity"
"78","CBST US Equity"
"79","BSX US Equity"
"80","DVA US Equity"
"81","AFX GR Equity"
"82","SOON VX Equity"
"83","AGN US Equity"
"84","NOBN SW Equity"
"85","EI FP Equity"
"86","RMD US Equity"
"87","MOR GR Equity"
"88","OCR US Equity"
"89","LONN VX Equity"
"90","ISRG US Equity"
"91","HOLX US Equity"
"92","CLS1 GR Equity"
"93","AZN LN Equity"
"94","ABT US Equity"
"95","TMO US Equity"
"96","A US Equity"
"97","MYL US Equity"
"98","DHR US Equity"
"99","LLY US Equity"
"100","1284849D US Equity"
"101","MDT US Equity"
"102","SAZ GR Equity"
"103","ICPT US Equity"
"104","PHIA NA Equity"
"105","PRGO US Equity"
"106","ATLN SW Equity"
"107","MRK GR Equity"
"108","HSP US Equity"
"109","EW US Equity"
"110","STJ US Equity"
"111","ABC US Equity"
"112","ZTS US Equity"
"113","GEVA US Equity"
"114","GRF SM Equity"
"115","COV US Equity"
"116","BAX US Equity"
"117","VRX CN Equity"
"118","SYK US Equity"
"119","FRE GR Equity"
"120","RCPT US Equity"
"121","FME GR Equity"
"122","HSIC US Equity"
"123","SHP LN Equity"
"124","LH US Equity"
"125","DRW3 GR Equity"
"126","UHS US Equity"
"127","DGX US Equity"
"128","BDX US Equity"
"129","XRAY US Equity"
"130","1469138D US Equity"
"131","PTLA US Equity"
"132","Q US Equity"
"133","ZBH US Equity"
"134","WDH DC Equity"
"135","MD US Equity"
"136","COLOB DC Equity"
"137","MACK US Equity"
"138","CVD US Equity"
"139","ALNY US Equity"
"140","IRWD US Equity"
"141","SN/ LN Equity"
"142","PDCO US Equity"
"143","BIM FP Equity"
"144","IPN FP Equity"
"145","BCR US Equity"
"146","CYH US Equity"
"147","PLL US Equity"
"148","BTG LN Equity"
"149","ANAC US Equity"
"150","BKD US Equity"
"151","ORP FP Equity"
"152","WAT US Equity"
"153","CFN US Equity"
"154","TMH US Equity"
"155","VAR US Equity"
"156","NVAX US Equity"
"157","GETIB SS Equity"
"158","PBYI US Equity"
"159","HLS US Equity"
"160","WOOF US Equity"
"161","MTD US Equity"
"162","MNTA US Equity"
"163","PRXL US Equity"
"164","CRL US Equity"
"165","AGIO US Equity"
"166","LPNT US Equity"
"167","ALKS US Equity"
"168","ICLR US Equity"
"169","UTHR US Equity"
"170","ACHC US Equity"
"171","EKTAB SS Equity"
"172","HNT US Equity"
"173","SLXP US Equity"
"174","COO US Equity"
"175","QGEN US Equity"
"176","OMI US Equity"
"177","XLRN US Equity"
"178","AIRM US Equity"
"179","IDXX US Equity"
"180","LUN DC Equity"
"181","PINC US Equity"
"182","TXMD US Equity"
"183","CLVS US Equity"
"184","EPZM US Equity"
"185","PKI US Equity"
"186","PBH US Equity"
"187","GN DC Equity"
"188","IMGN US Equity"
"189","VIRP FP Equity"
"190","MEDAA SS Equity"
"191","GEN DC Equity"
"192","ORNBV FH Equity"
"193","RICHT HB Equity"
"194","SIRO US Equity"
"195","TFX US Equity"
"196","MGLN US Equity"
"197","ABC LN Equity"
"198","SEM US Equity"
"199","GWPRF US Equity"
"200","BIO US Equity"
"201","MOH US Equity"
"202","TECH US Equity"
"203","CPHD US Equity"
"204","BRKR US Equity"
"205","WST US Equity"
"206","GNMK US Equity"
"207","AMSG US Equity"
"208","EVHC US Equity"
"209","RPTP US Equity"
"210","SOBI SS Equity"
"211","OMED US Equity"
"212","ALM SM Equity"
"213","1403366D SW Equity"
"214","MNK US Equity"
"215","DXCM US Equity"
"216","REC IM Equity"
"217","KRKG SV Equity"
"218","BOI FP Equity"
"219","HNGR US Equity"
"220","ALR US Equity"
"221","CHE US Equity"
"222","DIM FP Equity"
"223","SCAI US Equity"
"224","PHST RM Equity"
