"","x"
"1","ALXN US Equity"
"2","KERX US Equity"
"3","REGN US Equity"
"4","AMED US Equity"
"5","ILMN US Equity"
"6","LCAV US Equity"
"7","MNKD US Equity"
"8","THC US Equity"
"9","PBH US Equity"
"10","CNC US Equity"
"11","SAN FP Equity"
"12","MNTA US Equity"
"13","MOH US Equity"
"14","KND US Equity"
"15","UNH US Equity"
"16","VPHM US Equity"
"17","GERN US Equity"
"18","WCG US Equity"
"19","TVTY US Equity"
"20","WST US Equity"
"21","OCR US Equity"
"22","ARNA US Equity"
"23","CMX US Equity"
"24","ANTM US Equity"
"25","VRTX US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
