"","x"
"1","SPPN SW Equity"
"2","GTXI US Equity"
"3","THC US Equity"
"4","ONXX US Equity"
"5","WCG US Equity"
"6","AMAG US Equity"
"7","IONS US Equity"
"8","SAN FP Equity"
"9","ACOR US Equity"
"10","VPHM US Equity"
"11","INVA US Equity"
"12","NKTR US Equity"
"13","REGN US Equity"
"14","VRTX US Equity"
"15","EXEL US Equity"
"16","MYGN US Equity"
"17","ISRG US Equity"
"18","ABMD US Equity"
"19","KND US Equity"
"20","XNPT US Equity"
"21","AMED US Equity"
"22","CPHD US Equity"
"23","OCR US Equity"
"24","AUXL US Equity"
"25","UNH US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
