"","x"
"1","AMRN US Equity"
"2","PCYC US Equity"
"3","VVUS US Equity"
"4","ACHN US Equity"
"5","THC US Equity"
"6","HCA US Equity"
"7","ESRX US Equity"
"8","ITMN US Equity"
"9","DNDNQ US Equity"
"10","BIM FP Equity"
"11","UNH US Equity"
"12","LXRX US Equity"
"13","CI US Equity"
"14","CLS1 GR Equity"
"15","MAKO US Equity"
"16","AET US Equity"
"17","VIFN VX Equity"
"18","ANTM US Equity"
"19","ARIA US Equity"
"20","UCB BB Equity"
"21","MDVN US Equity"
"22","DVA US Equity"
"23","HUM US Equity"
"24","SGEN US Equity"
"25","ONXX US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
