"","x"
"1","ILMN US Equity"
"2","MNTA US Equity"
"3","PFE US Equity"
"4","BIIB US Equity"
"5","NOVN VX Equity"
"6","ACOR US Equity"
"7","MRK US Equity"
"8","JNJ US Equity"
"9","CBST US Equity"
"10","ELN ID Equity"
"11","BSX US Equity"
"12","MEDAA SS Equity"
"13","A US Equity"
"14","LLY US Equity"
"15","AMGN US Equity"
"16","EW US Equity"
"17","GSK LN Equity"
"18","SAN FP Equity"
"19","JAZZ US Equity"
"20","BMY US Equity"
"21","WCRX US Equity"
"22","NOVOB DC Equity"
"23","GILD US Equity"
"24","STJ US Equity"
"25","AZN LN Equity"
"26","ALR US Equity"
"27","NOBN SW Equity"
"28","1284849D US Equity"
"29","FRX US Equity"
"30","BAYN GR Equity"
"31","HSP US Equity"
"32","1255459D US Equity"
"33","MRK GR Equity"
"34","HOLX US Equity"
"35","ISRG US Equity"
"36","MDT US Equity"
"37","GN DC Equity"
"38","ABT US Equity"
"39","DHR US Equity"
"40","ENDP US Equity"
"41","MYL US Equity"
"42","PHIA NA Equity"
"43","SAZ GR Equity"
"44","PRGO US Equity"
"45","BAX US Equity"
"46","SYK US Equity"
"47","ZBH US Equity"
"48","GRF SM Equity"
"49","GETIB SS Equity"
"50","FRE GR Equity"
"51","FME GR Equity"
"52","RHK GR Equity"
"53","ROG VX Equity"
"54","UNH US Equity"
"55","CELG US Equity"
"56","ANTM US Equity"
"57","ESRX US Equity"
"58","COV US Equity"
"59","SHP LN Equity"
"60","MCK US Equity"
"61","TMO US Equity"
"62","BDX US Equity"
"63","AET US Equity"
"64","EI FP Equity"
"65","HUM US Equity"
"66","CAH US Equity"
"67","VRX CN Equity"
"68","ALXN US Equity"
"69","CI US Equity"
"70","HCA US Equity"
"71","ABC US Equity"
"72","DGX US Equity"
"73","SN/ LN Equity"
"74","LH US Equity"
"75","UCB BB Equity"
"76","AGN US Equity"
"77","VAR US Equity"
"78","BCR US Equity"
"79","DVA US Equity"
"80","SOON VX Equity"
"81","VRTX US Equity"
"82","WAT US Equity"
"83","PLL US Equity"
"84","COLOB DC Equity"
"85","HSIC US Equity"
"86","CFN US Equity"
"87","REGN US Equity"
"88","XRAY US Equity"
"89","WDH DC Equity"
"90","MTD US Equity"
"91","ATLN SW Equity"
"92","CVH US Equity"
"93","IDXX US Equity"
"94","EKTAB SS Equity"
"95","OCR US Equity"
"96","BMRN US Equity"
"97","VIFN VX Equity"
"98","RMD US Equity"
"99","UHS US Equity"
"100","LUN DC Equity"
"101","MD US Equity"
"102","CCT CN Equity"
"103","COO US Equity"
"104","PDCO US Equity"
"105","QGEN US Equity"
"106","LONN VX Equity"
"107","SLXP US Equity"
"108","BIM FP Equity"
"109","ONXX US Equity"
"110","CVD US Equity"
"111","ORNBV FH Equity"
"112","UTHR US Equity"
"113","STMN SW Equity"
"114","CLS1 GR Equity"
"115","BIO US Equity"
"116","IPN FP Equity"
"117","RICHT HB Equity"
"118","QCOR US Equity"
"119","TECH US Equity"
"120","HNT US Equity"
"121","TFX US Equity"
"122","SIRO US Equity"
"123","KRKG SV Equity"
"124","PKI US Equity"
"125","ALKS US Equity"
"126","WCG US Equity"
"127","THC US Equity"
"128","CPHD US Equity"
"129","BKD US Equity"
"130","HRC US Equity"
"131","BRKR US Equity"
"132","THOR US Equity"
"133","CNC US Equity"
"134","PHST RM Equity"
"135","VPHM US Equity"
"136","ARIA US Equity"
"137","SGEN US Equity"
"138","INCY US Equity"
"139","INVA US Equity"
"140","HMA US Equity"
"141","ALGN US Equity"
"142","LPNT US Equity"
"143","MYGN US Equity"
"144","OMI US Equity"
"145","ORP FP Equity"
"146","1339679D US Equity"
"147","STE US Equity"
"148","AFX GR Equity"
"149","WOOF US Equity"
"150","HLS US Equity"
"151","MDVN US Equity"
"152","CYH US Equity"
"153","BTG LN Equity"
"154","HAE US Equity"
"155","REC IM Equity"
"156","TMH US Equity"
"157","OPK US Equity"
"158","MGLN US Equity"
"159","DIA IM Equity"
"160","VIRP FP Equity"
"161","CRL US Equity"
"162","IPXL US Equity"
"163","WST US Equity"
"164","PSSI US Equity"
"165","SEM US Equity"
"166","VOLC US Equity"
"167","PRXL US Equity"
"168","IRWD US Equity"
"169","DRW3 GR Equity"
"170","ALM SM Equity"
"171","DNDNQ US Equity"
"172","MASI US Equity"
"173","DIM FP Equity"
"174","AIRM US Equity"
"175","AKRX US Equity"
"176","MAKO US Equity"
"177","ABC LN Equity"
"178","ALGETA NO Equity"
"179","UAM US Equity"
"180","ICLR US Equity"
"181","MOH US Equity"
"182","PCYC US Equity"
"183","CHE US Equity"
"184","AMRN US Equity"
"185","MDCO US Equity"
"186","HALO US Equity"
"187","NXTM US Equity"
