"","x"
"1","MNKD US Equity"
"2","ARIA US Equity"
"3","VVUS US Equity"
"4","SRPT US Equity"
"5","INFI US Equity"
"6","IDIX US Equity"
"7","ITMN US Equity"
"8","ARNA US Equity"
"9","SPPI US Equity"
"10","CNC US Equity"
"11","QCOR US Equity"
"12","WCG US Equity"
"13","IONS US Equity"
"14","PCYC US Equity"
"15","EXEL US Equity"
"16","MNTA US Equity"
"17","NPSP US Equity"
"18","THC US Equity"
"19","HCA US Equity"
"20","UNH US Equity"
"21","MDVN US Equity"
"22","ESRX US Equity"
"23","SGEN US Equity"
"24","REGN US Equity"
"25","VRTX US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
