"","x"
"1","MRK US Equity"
"2","CBST US Equity"
"3","PFE US Equity"
"4","ILMN US Equity"
"5","VPHM US Equity"
"6","AMGN US Equity"
"7","ATLN SW Equity"
"8","JNJ US Equity"
"9","NOVN VX Equity"
"10","ALXN US Equity"
"11","BSX US Equity"
"12","LLY US Equity"
"13","GSK LN Equity"
"14","GILD US Equity"
"15","BAYN GR Equity"
"16","BMY US Equity"
"17","MYGN US Equity"
"18","HOLX US Equity"
"19","AZN LN Equity"
"20","ISRG US Equity"
"21","1284849D US Equity"
"22","MDT US Equity"
"23","MRK GR Equity"
"24","A US Equity"
"25","STJ US Equity"
"26","ALR US Equity"
"27","ABT US Equity"
"28","PHIA NA Equity"
"29","1255459D US Equity"
"30","UNH US Equity"
"31","SAZ GR Equity"
"32","MYL US Equity"
"33","BAX US Equity"
"34","NOBN SW Equity"
"35","VAR US Equity"
"36","AGN US Equity"
"37","ZBH US Equity"
"38","SYK US Equity"
"39","DHR US Equity"
"40","PDCO US Equity"
"41","FME GR Equity"
"42","ROG VX Equity"
"43","SAN FP Equity"
"44","ACL US Equity"
"45","NOVOB DC Equity"
"46","MHS US Equity"
"47","ANTM US Equity"
"48","CELG US Equity"
"49","COV US Equity"
"50","ESRX US Equity"
"51","TMO US Equity"
"52","BDX US Equity"
"53","MCK US Equity"
"54","SYST VX Equity"
"55","BIIB US Equity"
"56","AET US Equity"
"57","GENZ US Equity"
"58","EI FP Equity"
"59","CAH US Equity"
"60","DGX US Equity"
"61","SHP LN Equity"
"62","FRE GR Equity"
"63","FRX US Equity"
"64","CI US Equity"
"65","SN/ LN Equity"
"66","VRTX US Equity"
"67","HSP US Equity"
"68","LH US Equity"
"69","SOON VX Equity"
"70","UCB BB Equity"
"71","BCR US Equity"
"72","ABC US Equity"
"73","HUM US Equity"
"74","WCRX US Equity"
"75","DVA US Equity"
"76","WAT US Equity"
"77","HGSI US Equity"
"78","CFN US Equity"
"79","XRAY US Equity"
"80","QGEN US Equity"
"81","EW US Equity"
"82","HSIC US Equity"
"83","IPN FP Equity"
"84","CEPH US Equity"
"85","BIM FP Equity"
"86","BEC US Equity"
"87","GETIB SS Equity"
"88","WDH DC Equity"
"89","STMN SW Equity"
"90","CLS1 GR Equity"
"91","PLL US Equity"
"92","RICHT HB Equity"
"93","COLOB DC Equity"
"94","RMD US Equity"
"95","GRF SM Equity"
"96","PRGO US Equity"
"97","CVH US Equity"
"98","LUN DC Equity"
"99","LONN VX Equity"
"100","MTD US Equity"
"101","ELN ID Equity"
"102","DNDNQ US Equity"
"103","CVD US Equity"
"104","RHK GR Equity"
"105","CYH US Equity"
"106","EMS US Equity"
"107","KRKG SV Equity"
"108","IDXX US Equity"
"109","ORNBV FH Equity"
"110","KG US Equity"
"111","UHS US Equity"
"112","OCR US Equity"
"113","UTHR US Equity"
"114","MD US Equity"
"115","PPDI US Equity"
"116","MEDAA SS Equity"
"117","KCI US Equity"
"118","TLCR US Equity"
"119","BIO US Equity"
"120","THC US Equity"
"121","TECH US Equity"
"122","LNCR US Equity"
"123","HNT US Equity"
"124","ENDP US Equity"
"125","PKI US Equity"
"126","PHST RM Equity"
"127","VIFN VX Equity"
"128","CRL US Equity"
"129","VRX CN Equity"
"130","EKTAB SS Equity"
"131","ALM SM Equity"
"132","BKD US Equity"
"133","TFX US Equity"
"134","WOOF US Equity"
"135","0991739D US Equity"
"136","AMLN US Equity"
"137","BRKR US Equity"
"138","DIA IM Equity"
"139","REGN US Equity"
"140","BMRN US Equity"
"141","ONXX US Equity"
"142","HMA US Equity"
"143","ICLL AV Equity"
"144","OMI US Equity"
"145","LPNT US Equity"
"146","SIRO US Equity"
"147","MASI US Equity"
"148","HLS US Equity"
"149","COO US Equity"
"150","SEM US Equity"
"151","ORP FP Equity"
"152","1339679D US Equity"
"153","STE US Equity"
"154","CCT CN Equity"
"155","CRXL NA Equity"
"156","CHSI US Equity"
"157","MRX US Equity"
"158","WCG US Equity"
"159","REC IM Equity"
"160","THOR US Equity"
