"","x"
"1","MNKD US Equity"
"2","DNDNQ US Equity"
"3","MDVN US Equity"
"4","ITMN US Equity"
"5","SVNTQ US Equity"
"6","MNTA US Equity"
"7","GERN US Equity"
"8","SAN FP Equity"
"9","PDLI US Equity"
"10","THC US Equity"
"11","BSLN SW Equity"
"12","UNH US Equity"
"13","MHS US Equity"
"14","WCG US Equity"
"15","AMED US Equity"
"16","ACOR US Equity"
"17","HNT US Equity"
"18","ANTM US Equity"
"19","CI US Equity"
"20","CYH US Equity"
"21","AET US Equity"
"22","AUXL US Equity"
"23","HUM US Equity"
"24","GSK LN Equity"
"25","ESRX US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
