"","x"
"1","ACAD US Equity"
"2","TSRO US Equity"
"3","NTRA US Equity"
"4","JNJ US Equity"
"5","ROG VX Equity"
"6","RVNC US Equity"
"7","SRPT US Equity"
"8","FOLD US Equity"
"9","AIMT US Equity"
"10","SGYP US Equity"
"11","HRTX US Equity"
"12","ALDR US Equity"
"13","AXON US Equity"
"14","RDUS US Equity"
"15","ITCI US Equity"
"16","AERI US Equity"
"17","INSM US Equity"
"18","CLVS US Equity"
"19","PBYI US Equity"
"20","NOVN VX Equity"
"21","NBIX US Equity"
"22","GEN US Equity"
"23","LXRX US Equity"
"24","UNH US Equity"
"25","AXDX US Equity"
"26","SAGE US Equity"
"27","ARRY US Equity"
"28","RARE US Equity"
"29","ZIOP US Equity"
"30","PTLA US Equity"
"31","PFE US Equity"
"32","KERX US Equity"
"33","EPZM US Equity"
"34","NVCR US Equity"
"35","DPLO US Equity"
"36","ICPT US Equity"
"37","ADRO US Equity"
"38","BPMC US Equity"
"39","BLUE US Equity"
"40","NOVOB DC Equity"
"41","GILD US Equity"
"42","PRTA US Equity"
"43","KND US Equity"
"44","HZNP US Equity"
"45","INSY US Equity"
"46","XNCR US Equity"
"47","AGN US Equity"
"48","TXMD US Equity"
"49","TDOC US Equity"
"50","VRX CN Equity"
"51","MRK US Equity"
"52","CIVI US Equity"
"53","ONCE US Equity"
"54","SCMP US Equity"
"55","DERM US Equity"
"56","KITE US Equity"
"57","AMGN US Equity"
"58","ARIA US Equity"
"59","RTRX US Equity"
"60","THC US Equity"
"61","XON US Equity"
"62","CHRS US Equity"
"63","EGRX US Equity"
"64","ACHN US Equity"
"65","CELG US Equity"
"66","SGRY US Equity"
"67","SUPN US Equity"
"68","SEM US Equity"
"69","ALNY US Equity"
"70","EXAS US Equity"
"71","PRAH US Equity"
"72","INCY US Equity"
"73","MGNX US Equity"
"74","JUNO US Equity"
"75","BKD US Equity"
"76","BMY US Equity"
"77","MACK US Equity"
"78","AMED US Equity"
"79","CYH US Equity"
"80","SAN FP Equity"
"81","EXEL US Equity"
"82","AGIO US Equity"
"83","BAYN GR Equity"
"84","FGEN US Equity"
"85","DEPO US Equity"
"86","CORT US Equity"
"87","ENTA US Equity"
"88","XLRN US Equity"
"89","ESRX US Equity"
"90","AMAG US Equity"
"91","AKRX US Equity"
"92","INVA US Equity"
"93","FPRX US Equity"
"94","ABBV US Equity"
"95","AET US Equity"
"96","INCR US Equity"
"97","MDT US Equity"
"98","LLY US Equity"
"99","MDXG US Equity"
"100","FMI US Equity"
"101","PCRX US Equity"
"102","HALO US Equity"
"103","BIIB US Equity"
"104","CI US Equity"
"105","MNK US Equity"
"106","TMH US Equity"
"107","IRWD US Equity"
"108","IONS US Equity"
"109","HCA US Equity"
"110","ANTM US Equity"
"111","MDCO US Equity"
"112","SPNC US Equity"
"113","MCK US Equity"
"114","GSK LN Equity"
"115","AIRM US Equity"
"116","ANIP US Equity"
"117","QDEL US Equity"
"118","NKTR US Equity"
"119","HUM US Equity"
"120","REGN US Equity"
"121","KTWO US Equity"
