"","x"
"1","AXDX US Equity"
"2","MNKD US Equity"
"3","KERX US Equity"
"4","NLNK US Equity"
"5","ONVO US Equity"
"6","AVNR US Equity"
"7","GERN US Equity"
"8","INFI US Equity"
"9","LXRX US Equity"
"10","ARIA US Equity"
"11","CLDX US Equity"
"12","INVA US Equity"
"13","NBIX US Equity"
"14","ACAD US Equity"
"15","HZNP US Equity"
"16","SRPT US Equity"
"17","EXAS US Equity"
"18","ARNA US Equity"
"19","OREX US Equity"
"20","NPSP US Equity"
"21","OPK US Equity"
"22","HALO US Equity"
"23","BSLN SW Equity"
"24","AEGR US Equity"
"25","VRTX US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
