"","x"
"1","VRUS US Equity"
"2","VVUS US Equity"
"3","ARIA US Equity"
"4","JNJ US Equity"
"5","MDVN US Equity"
"6","ROG VX Equity"
"7","MNTA US Equity"
"8","ITMN US Equity"
"9","JAZZ US Equity"
"10","WCG US Equity"
"11","DNDNQ US Equity"
"12","PFE US Equity"
"13","AUXL US Equity"
"14","UNH US Equity"
"15","VRTX US Equity"
"16","NOVN VX Equity"
"17","ACOR US Equity"
"18","INCY US Equity"
"19","IONS US Equity"
"20","MRK US Equity"
"21","ANTM US Equity"
"22","ESRX US Equity"
"23","HNT US Equity"
"24","UTHR US Equity"
"25","MHS US Equity"
"26","NUVA US Equity"
"27","SLXP US Equity"
"28","VPHM US Equity"
"29","ONXX US Equity"
"30","SAN FP Equity"
"31","NOVOB DC Equity"
"32","CI US Equity"
"33","GSK LN Equity"
"34","AET US Equity"
"35","BSX US Equity"
"36","HUM US Equity"
"37","CBST US Equity"
"38","MYGN US Equity"
"39","BAYN GR Equity"
"40","ISRG US Equity"
"41","AMGN US Equity"
"42","SAZ GR Equity"
"43","ILMN US Equity"
"44","PHIA NA Equity"
"45","CELG US Equity"
"46","CLS1 GR Equity"
"47","MCK US Equity"
"48","ABT US Equity"
"49","HOLX US Equity"
"50","GILD US Equity"
"51","ABC US Equity"
"52","CAH US Equity"
"53","MDT US Equity"
"54","THC US Equity"
"55","ALR US Equity"
"56","A US Equity"
"57","AZN LN Equity"
"58","VIFN VX Equity"
"59","BMY US Equity"
"60","ATLN SW Equity"
"61","NOBN SW Equity"
"62","ALXN US Equity"
"63","1255459D US Equity"
"64","SOON VX Equity"
"65","PRGO US Equity"
"66","1284849D US Equity"
"67","EW US Equity"
"68","PDCO US Equity"
"69","SYK US Equity"
"70","DGX US Equity"
"71","MYL US Equity"
"72","DHR US Equity"
"73","BAX US Equity"
"74","BIIB US Equity"
"75","DVA US Equity"
"76","LONN VX Equity"
"77","STJ US Equity"
"78","LLY US Equity"
"79","RHK GR Equity"
"80","VAR US Equity"
"81","ZBH US Equity"
"82","FRX US Equity"
"83","AGN US Equity"
"84","HSP US Equity"
"85","MRK GR Equity"
"86","COV US Equity"
"87","IMGN US Equity"
"88","TMO US Equity"
"89","SYST VX Equity"
"90","INVA US Equity"
"91","HALO US Equity"
"92","BDX US Equity"
"93","EI FP Equity"
"94","AVEO US Equity"
"95","UCB BB Equity"
"96","FME GR Equity"
"97","SGEN US Equity"
"98","HSIC US Equity"
"99","SHP LN Equity"
"100","FRE GR Equity"
"101","XRAY US Equity"
"102","IRWD US Equity"
"103","WDH DC Equity"
"104","STMN SW Equity"
