"","x"
"1","ALXN US Equity"
"2","BMRN US Equity"
"3","AMAG US Equity"
"4","ARNA US Equity"
"5","XNPT US Equity"
"6","REGN US Equity"
"7","PGNX US Equity"
"8","MNKD US Equity"
"9","MOH US Equity"
"10","IONS US Equity"
"11","CNC US Equity"
"12","JNJ US Equity"
"13","THC US Equity"
"14","ROG VX Equity"
"15","SAN FP Equity"
"16","EXEL US Equity"
"17","ITMN US Equity"
"18","VRTX US Equity"
"19","ILMN US Equity"
"20","GTXI US Equity"
"21","INVA US Equity"
"22","MYGN US Equity"
"23","VPHM US Equity"
"24","ALNY US Equity"
"25","HLS US Equity"
"26","SVNTQ US Equity"
"27","UTHR US Equity"
"28","PRXL US Equity"
"29","TVTY US Equity"
"30","CHE US Equity"
"31","UNH US Equity"
"32","BRKR US Equity"
"33","PFE US Equity"
"34","GTIV US Equity"
"35","KND US Equity"
"36","AMED US Equity"
"37","WST US Equity"
"38","ALKS US Equity"
"39","NKTR US Equity"
"40","WCG US Equity"
"41","SIRO US Equity"
"42","CBST US Equity"
"43","CELG US Equity"
"44","THOR US Equity"
"45","GSK LN Equity"
"46","AFFX US Equity"
"47","ALGN US Equity"
"48","NUVA US Equity"
"49","ANTM US Equity"
"50","ESRX US Equity"
"51","MGLN US Equity"
"52","AET US Equity"
"53","CPTS US Equity"
"54","WOOF US Equity"
"55","HUM US Equity"
"56","OCR US Equity"
"57","CLS1 GR Equity"
"58","NOVN VX Equity"
"59","MDCO US Equity"
"60","ISRG US Equity"
"61","KVPHQ US Equity"
"62","CI US Equity"
"63","PDLI US Equity"
"64","HOLX US Equity"
"65","DNA US Equity"
"66","AZN LN Equity"
"67","BSX US Equity"
"68","OMI US Equity"
"69","HNT US Equity"
"70","DVA US Equity"
"71","AMGN US Equity"
"72","MRK US Equity"
"73","UAM US Equity"
"74","GILD US Equity"
"75","1321686D US Equity"
"76","ARTC US Equity"
"77","LPNT US Equity"
"78","HMA US Equity"
"79","PDCO US Equity"
"80","ENDP US Equity"
"81","WYE US Equity"
"82","ATLN SW Equity"
"83","HSP US Equity"
"84","UHS US Equity"
"85","PHIA NA Equity"
"86","SRDX US Equity"
"87","QGEN US Equity"
"88","CVD US Equity"
"89","MCK US Equity"
"90","COO US Equity"
"91","CAH US Equity"
"92","BIIB US Equity"
"93","CRL US Equity"
"94","HAE US Equity"
"95","USNA US Equity"
"96","MRK GR Equity"
"97","DHR US Equity"
"98","A US Equity"
"99","STJ US Equity"
"100","BAYN GR Equity"
"101","ABT US Equity"
"102","FRX US Equity"
"103","MDT US Equity"
"104","BIO US Equity"
"105","ICLL AV Equity"
"106","RMD US Equity"
"107","XRAY US Equity"
"108","ABC US Equity"
"109","VAR US Equity"
"110","BMY US Equity"
"111","LLY US Equity"
"112","HSIC US Equity"
"113","LONN VX Equity"
"114","1255459D US Equity"
"115","WCRX US Equity"
"116","MYL US Equity"
"117","MD US Equity"
"118","IART US Equity"
"119","CRA US Equity"
"120","DGX US Equity"
"121","PRGO US Equity"
"122","EI FP Equity"
"123","TFX US Equity"
"124","CNMD US Equity"
"125","1284849D US Equity"
"126","MHS US Equity"
"127","PKI US Equity"
"128","WAT US Equity"
"129","SYK US Equity"
"130","NOBN SW Equity"
"131","SYST VX Equity"
"132","STE US Equity"
"133","1339679D US Equity"
"134","ZBH US Equity"
"135","CYH US Equity"
"136","BAX US Equity"
"137","TECH US Equity"
"138","HGSI US Equity"
"139","FME GR Equity"
"140","UCB BB Equity"
"141","SGP US Equity"
"142","AGN US Equity"
"143","HRC US Equity"
"144","ACL US Equity"
"145","MTD US Equity"
"146","HALO US Equity"
"147","BCR US Equity"
"148","TMO US Equity"
"149","IDXX US Equity"
"150","BDX US Equity"
"151","NOVOB DC Equity"
"152","LH US Equity"
"153","ZGEN US Equity"
"154","SCH GR Equity"
"155","PLL US Equity"
"156","GEN DC Equity"
"157","CVH US Equity"
"158","COM CN Equity"
"159","MEDX US Equity"
"160","ELN ID Equity"
"161","GENZ US Equity"
"162","SOON VX Equity"
"163","NEUR DC Equity"
"164","EW US Equity"
"165","WDH DC Equity"
"166","BKD US Equity"
"167","CVTX US Equity"
"168","SHP LN Equity"
"169","IPN FP Equity"
"170","FRE GR Equity"
"171","STMN SW Equity"
"172","LNCR US Equity"
"173","SN/ LN Equity"
"174","KRKG SV Equity"
"175","GRF SM Equity"
"176","NTY US Equity"
"177","SEPR US Equity"
"178","SRZ GR Equity"
"179","BIM FP Equity"
"180","3437127Q US Equity"
"181","LUN DC Equity"
"182","RHK GR Equity"
"183","AMLN US Equity"
"184","BRL US Equity"
"185","GDS FP Equity"
"186","FAE SM Equity"
"187","SIE US Equity"
"188","CRXL NA Equity"
"189","OME BB Equity"
"190","CEPH US Equity"
"191","APPX US Equity"
"192","8397627Q US Equity"
"193","BIO PW Equity"
"194","OSIP US Equity"
"195","MEDAA SS Equity"
"196","GETIB SS Equity"
"197","AGP US Equity"
"198","COLOB DC Equity"
"199","RICHT HB Equity"
"200","VIFN VX Equity"
"201","BEC US Equity"
"202","PHM SM Equity"
"203","KG US Equity"
"204","MEDIQ NA Equity"
"205","ORP FP Equity"
"206","AMP IM Equity"
"207","0991739D US Equity"
"208","SOBI SS Equity"
"209","0202445Q US Equity"
"210","VRX CN Equity"
"211","PPDI US Equity"
"212","ALKB DC Equity"
"213","ZEL SM Equity"
"214","ORNBV FH Equity"
"215","SRZ US Equity"
"216","GN DC Equity"
"217","RESP US Equity"
"218","OFIX US Equity"
"219","SAZ GR Equity"
"220","0945329D US Equity"
"221","KORI FP Equity"
"222","BSLN SW Equity"
"223","PLVARA CZ Equity"
"224","PSSI US Equity"
"225","KCI US Equity"
"226","AUXL US Equity"
"227","NDN CN Equity"
"228","MNT US Equity"
"229","ZEN CP Equity"
"230","MOGN US Equity"
"231","0967702D US Equity"
"232","UDG LN Equity"
"233","COX FP Equity"
"234","SCHE LN Equity"
"235","EKTAB SS Equity"
"236","MRX US Equity"
"237","AHG US Equity"
"238","1541946D US Equity"
"239","QMED SS Equity"
"240","1519026D LN Equity"
"241","VMSI US Equity"
"242","ICLR US Equity"
"243","VTIV US Equity"
"244","3339188Q US Equity"
"245","AFX GR Equity"
"246","BLUD US Equity"
"247","YPSN SW Equity"
"248","BANB SW Equity"
"249","1280452D CN Equity"
"250","SPPN SW Equity"
"251","4107485Q US Equity"
"252","SRN IM Equity"
"253","ALR US Equity"
"254","REC IM Equity"
"255","CHSI US Equity"
"256","2997841Q US Equity"
"257","AMMD US Equity"
"258","ARXT US Equity"
"259","VARI US Equity"
"260","3509785Q CN Equity"
"261","3527570Q US Equity"
"262","EVVV US Equity"
"263","EMS US Equity"
"264","ALOG US Equity"
"265","DNEX US Equity"
"266","EGIS HB Equity"
"267","LIFC US Equity"
"268","AKRX US Equity"
"269","IVC US Equity"
