"","x"
"1","VRUS US Equity"
"2","VVUS US Equity"
"3","ARIA US Equity"
"4","MDVN US Equity"
"5","MNTA US Equity"
"6","ITMN US Equity"
"7","JAZZ US Equity"
"8","WCG US Equity"
"9","DNDNQ US Equity"
"10","AUXL US Equity"
"11","UNH US Equity"
"12","VRTX US Equity"
"13","ACOR US Equity"
"14","INCY US Equity"
"15","IONS US Equity"
"16","ANTM US Equity"
"17","ESRX US Equity"
"18","HNT US Equity"
"19","UTHR US Equity"
"20","MHS US Equity"
"21","NUVA US Equity"
"22","SLXP US Equity"
"23","VPHM US Equity"
"24","ONXX US Equity"
"25","SAN FP Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
