"","x"
"1","VPHM US Equity"
"2","UTHR US Equity"
"3","ALXN US Equity"
"4","ILMN US Equity"
"5","NOVN VX Equity"
"6","CBST US Equity"
"7","THOR US Equity"
"8","IART US Equity"
"9","PFE US Equity"
"10","AMGN US Equity"
"11","JNJ US Equity"
"12","BIIB US Equity"
"13","MRK US Equity"
"14","MYGN US Equity"
"15","BSX US Equity"
"16","GSK LN Equity"
"17","LLY US Equity"
"18","MYL US Equity"
"19","ISRG US Equity"
"20","AZN LN Equity"
"21","1255459D US Equity"
"22","HOLX US Equity"
"23","ALR US Equity"
"24","1284849D US Equity"
"25","ATLN SW Equity"
"26","BMY US Equity"
"27","GILD US Equity"
"28","BCR US Equity"
"29","PKI US Equity"
"30","NUVA US Equity"
"31","ABT US Equity"
"32","FRX US Equity"
"33","A US Equity"
"34","BAYN GR Equity"
"35","NOBN SW Equity"
"36","COO US Equity"
"37","QGEN US Equity"
"38","UNH US Equity"
"39","PHIA NA Equity"
"40","ENDP US Equity"
"41","MRK GR Equity"
"42","STJ US Equity"
"43","MDT US Equity"
"44","AMED US Equity"
"45","WAT US Equity"
"46","IDXX US Equity"
"47","VAR US Equity"
"48","ANTM US Equity"
"49","DHR US Equity"
"50","BAX US Equity"
"51","EW US Equity"
"52","COV US Equity"
"53","ZBH US Equity"
"54","SAZ GR Equity"
"55","SYK US Equity"
"56","PRGO US Equity"
"57","AGN US Equity"
"58","DGX US Equity"
"59","FME GR Equity"
"60","LH US Equity"
"61","ROG VX Equity"
"62","SAN FP Equity"
"63","NOVOB DC Equity"
"64","ACL US Equity"
"65","CELG US Equity"
"66","MHS US Equity"
"67","GENZ US Equity"
"68","BDX US Equity"
"69","SYST VX Equity"
"70","TMO US Equity"
"71","ESRX US Equity"
"72","AET US Equity"
"73","CAH US Equity"
"74","MCK US Equity"
"75","EI FP Equity"
"76","FRE GR Equity"
"77","SHP LN Equity"
"78","HUM US Equity"
"79","UCB BB Equity"
"80","SN/ LN Equity"
"81","ABC US Equity"
"82","CEPH US Equity"
"83","DVA US Equity"
"84","LONN VX Equity"
"85","CLS1 GR Equity"
"86","CI US Equity"
"87","VRTX US Equity"
"88","HSP US Equity"
"89","XRAY US Equity"
"90","LUN DC Equity"
"91","SOON VX Equity"
"92","GRF SM Equity"
"93","WCRX US Equity"
"94","PPDI US Equity"
"95","PLL US Equity"
"96","BIM FP Equity"
"97","OCR US Equity"
"98","IPN FP Equity"
"99","HSIC US Equity"
"100","COLOB DC Equity"
"101","CVD US Equity"
"102","0202445Q US Equity"
"103","RMD US Equity"
"104","GETIB SS Equity"
"105","RICHT HB Equity"
"106","ELN ID Equity"
"107","BEC US Equity"
"108","STMN SW Equity"
"109","ABII US Equity"
"110","KG US Equity"
"111","RHK GR Equity"
"112","TECH US Equity"
"113","WDH DC Equity"
"114","ORNBV FH Equity"
"115","KRKG SV Equity"
"116","0991739D US Equity"
"117","PDCO US Equity"
"118","MTD US Equity"
"119","OSIP US Equity"
"120","CVH US Equity"
"121","VIFN VX Equity"
"122","MEDAA SS Equity"
"123","BIO US Equity"
"124","LNCR US Equity"
"125","TFX US Equity"
"126","ONXX US Equity"
"127","UHS US Equity"
"128","BLUD US Equity"
"129","4107485Q US Equity"
"130","BMRN US Equity"
"131","CRL US Equity"
"132","GEN DC Equity"
"133","MASI US Equity"
"134","WOOF US Equity"
"135","MGLN US Equity"
"136","AGP US Equity"
"137","OMI US Equity"
"138","8397627Q US Equity"
"139","EMS US Equity"
"140","VRX CN Equity"
"141","AMLN US Equity"
"142","REGN US Equity"
"143","MD US Equity"
"144","ICLL AV Equity"
"145","HAE US Equity"
"146","1339679D US Equity"
"147","STE US Equity"
"148","KCI US Equity"
"149","IONS US Equity"
"150","CYH US Equity"
"151","BSLN SW Equity"
"152","ORP FP Equity"
"153","ALM SM Equity"
"154","WST US Equity"
"155","LPNT US Equity"
"156","AUXL US Equity"
"157","0967702D US Equity"
"158","ICLR US Equity"
"159","PSSI US Equity"
"160","HNT US Equity"
"161","REC IM Equity"
"162","DIA IM Equity"
"163","CHSI US Equity"
"164","ZEL SM Equity"
"165","PHM SM Equity"
"166","HRC US Equity"
"167","VIVO US Equity"
"168","BANB SW Equity"
"169","ALNY US Equity"
"170","ALKS US Equity"
"171","MATK US Equity"
"172","CRXL NA Equity"
"173","PRON NO Equity"
"174","GDS FP Equity"
"175","ALKB DC Equity"
"176","AFX GR Equity"
"177","VARI US Equity"
"178","HLS US Equity"
"179","NTY US Equity"
"180","1280452D CN Equity"
"181","EKTAB SS Equity"
"182","OME BB Equity"
"183","CRA US Equity"
"184","CHE US Equity"
"185","LMNX US Equity"
"186","CNC US Equity"
"187","GTIV US Equity"
"188","YPSN SW Equity"
"189","BIO GR Equity"
"190","DNEX US Equity"
"191","MRX US Equity"
"192","MDAS US Equity"
"193","1321686D US Equity"
"194","ACOR US Equity"
"195","INVA US Equity"
"196","MEDIQ NA Equity"
"197","NDN CN Equity"
"198","ALAPIS GA Equity"
"199","PDLI US Equity"
"200","UDG LN Equity"
"201","AMSG US Equity"
"202","EVHC US Equity"
"203","VOLC US Equity"
"204","PHST RM Equity"
"205","SGEN US Equity"
"206","KORI FP Equity"
"207","VIRP FP Equity"
"208","CNMD US Equity"
"209","GENP FP Equity"
"210","FAE SM Equity"
"211","BRKR US Equity"
"212","AMMD US Equity"
"213","LHCG US Equity"
"214","EVVV US Equity"
"215","XNPT US Equity"
"216","AMAG US Equity"
"217","CPHD US Equity"
"218","UAM US Equity"
"219","SYUT US Equity"
"220","ALGN US Equity"
"221","MOR GR Equity"
"222","SIRO US Equity"
"223","GXDX US Equity"
"224","BKD US Equity"
"225","GHDX US Equity"
"226","THC US Equity"
"227","PRXL US Equity"
"228","WCG US Equity"
"229","BOI FP Equity"
"230","EXEL US Equity"
"231","BTG LN Equity"
"232","NKTR US Equity"
"233","COX FP Equity"
"234","KND US Equity"
"235","MMSI US Equity"
