"","x"
"87","MRK GR Equity"
"88","PKI US Equity"
"89","MEDX US Equity"
"90","SGEN US Equity"
"91","PDLI US Equity"
"92","SGP US Equity"
"93","ALNY US Equity"
"94","1284849D US Equity"
"95","DHR US Equity"
"96","SYK US Equity"
"97","NOBN SW Equity"
"98","ENDP US Equity"
"99","ACL US Equity"
"100","IART US Equity"
"101","VAR US Equity"
"102","NOVOB DC Equity"
"103","ZBH US Equity"
"104","CVD US Equity"
"105","SYST VX Equity"
"106","HSIC US Equity"
"107","GEN DC Equity"
"108","1255459D US Equity"
"109","IDXX US Equity"
"110","TMO US Equity"
"111","WAT US Equity"
"112","LH US Equity"
"113","AGN US Equity"
"114","FME GR Equity"
"115","DGX US Equity"
"116","ELN ID Equity"
"117","BCR US Equity"
"118","CVH US Equity"
"119","UCB BB Equity"
"120","COV US Equity"
"121","GENZ US Equity"
"122","SOON VX Equity"
"123","COX FP Equity"
"124","EW US Equity"
"125","SHP LN Equity"
"126","WDH DC Equity"
"127","IPN FP Equity"
"128","GRF SM Equity"
"129","FRE GR Equity"
"130","BIM FP Equity"
"131","CVTX US Equity"
"132","STMN SW Equity"
"133","SN/ LN Equity"
"134","ALM SM Equity"
"135","SRZ GR Equity"
"136","CRA US Equity"
"137","HRC US Equity"
"138","ALAPIS GA Equity"
"139","AMLN US Equity"
"140","MD US Equity"
"141","RHK GR Equity"
"142","PHM SM Equity"
"143","BKD US Equity"
"144","LUN DC Equity"
"145","VIFN VX Equity"
"146","HSP US Equity"
"147","LNCR US Equity"
"148","CEPH US Equity"
"149","ABII US Equity"
"150","UHS US Equity"
"151","KRKG SV Equity"
"152","PHST RM Equity"
"153","0991739D US Equity"
"154","TFX US Equity"
"155","OSIP US Equity"
"156","ORP FP Equity"
"157","WCRX US Equity"
"158","GETIB SS Equity"
"159","BEC US Equity"
"160","RICHT HB Equity"
"161","PLL US Equity"
"162","PPDI US Equity"
"163","SEPR US Equity"
"164","GHDX US Equity"
"165","ORNBV FH Equity"
"166","ZEL SM Equity"
"167","RMD US Equity"
"168","0202445Q US Equity"
"169","AGP US Equity"
"170","COLOB DC Equity"
"171","MTD US Equity"
"172","UAM US Equity"
"173","MEDAA SS Equity"
"174","MDCO US Equity"
"175","FAE SM Equity"
"176","PLVARA CZ Equity"
"177","MOR GR Equity"
"178","MGLN US Equity"
"179","GDS FP Equity"
"180","BSLN SW Equity"
"181","NTY US Equity"
"182","OME BB Equity"
"183","8397627Q US Equity"
"184","ICLR US Equity"
"185","OMI US Equity"
"186","KCI US Equity"
"187","VRX CN Equity"
"188","BIO US Equity"
"189","HLS US Equity"
"190","SYUT US Equity"
"191","MEDIQ NA Equity"
"192","ALKB DC Equity"
"193","TECH US Equity"
"194","CRXL NA Equity"
"195","1280452D CN Equity"
"196","LMNX US Equity"
"197","MASI US Equity"
"198","NUVA US Equity"
"199","EVVV US Equity"
"200","KG US Equity"
"201","MNT US Equity"
"202","PRXL US Equity"
"203","CHE US Equity"
"204","UDG LN Equity"
"205","REC IM Equity"
"206","VARI US Equity"
"207","PSSI US Equity"
"208","BLUD US Equity"
"209","BRKR US Equity"
"210","SIRO US Equity"
"211","EMS US Equity"
"212","PRON NO Equity"
"213","NDN CN Equity"
"214","AFX GR Equity"
"215","KORI FP Equity"
"216","ZEN CP Equity"
"217","CNC US Equity"
"218","4107485Q US Equity"
"219","DNEX US Equity"
"220","EKTAB SS Equity"
"221","VOLC US Equity"
"222","BANB SW Equity"
"223","0967702D US Equity"
"224","CHSI US Equity"
"225","ALGN US Equity"
"226","HAE US Equity"
"227","MRX US Equity"
"228","STE US Equity"
"229","AMMD US Equity"
"230","MDAS US Equity"
"231","1339679D US Equity"
"232","1321686D US Equity"
"233","MATK US Equity"
"234","VIVO US Equity"
"235","DSCP US Equity"
"236","BIO GR Equity"
"237","YPSN SW Equity"
"238","DIA IM Equity"
"239","VIRP FP Equity"
"240","GENP FP Equity"
"241","AMSG US Equity"
"242","EVHC US Equity"
"243","WST US Equity"
"244","CNMD US Equity"
"245","NHC US Equity"
"246","BOI FP Equity"
"247","CGRB US Equity"
"248","USNA US Equity"
"249","GTIV US Equity"
