"","x"
"1","SPPN SW Equity"
"2","GTXI US Equity"
"3","THC US Equity"
"4","ONXX US Equity"
"5","WCG US Equity"
"6","JNJ US Equity"
"7","AMAG US Equity"
"8","ROG VX Equity"
"9","IONS US Equity"
"10","SAN FP Equity"
"11","ACOR US Equity"
"12","VPHM US Equity"
"13","INVA US Equity"
"14","NKTR US Equity"
"15","REGN US Equity"
"16","VRTX US Equity"
"17","EXEL US Equity"
"18","MYGN US Equity"
"19","ISRG US Equity"
"20","ABMD US Equity"
"21","KND US Equity"
"22","XNPT US Equity"
"23","AMED US Equity"
"24","CPHD US Equity"
"25","OCR US Equity"
"26","AUXL US Equity"
"27","PFE US Equity"
"28","UNH US Equity"
"29","MRK US Equity"
"30","HUM US Equity"
"31","GSK LN Equity"
"32","CELG US Equity"
"33","ESRX US Equity"
"34","ALKS US Equity"
"35","BSX US Equity"
"36","UTHR US Equity"
"37","BMRN US Equity"
"38","NOVN VX Equity"
"39","CLS1 GR Equity"
"40","ALXN US Equity"
"41","AET US Equity"
"42","ILMN US Equity"
"43","THOR US Equity"
"44","CBST US Equity"
"45","ANTM US Equity"
"46","CYH US Equity"
"47","ALR US Equity"
"48","ATLN SW Equity"
"49","CI US Equity"
"50","MHS US Equity"
"51","ABT US Equity"
"52","GILD US Equity"
"53","PDCO US Equity"
"54","WOOF US Equity"
"55","AMGN US Equity"
"56","MYL US Equity"
"57","PRGO US Equity"
"58","FRX US Equity"
"59","DNA US Equity"
"60","BAYN GR Equity"
"61","LPNT US Equity"
"62","MCK US Equity"
"63","BIIB US Equity"
"64","QGEN US Equity"
"65","AZN LN Equity"
"66","PHIA NA Equity"
"67","HOLX US Equity"
"68","ABC US Equity"
"69","DVA US Equity"
"70","LLY US Equity"
"71","WYE US Equity"
"72","MDT US Equity"
"73","BDX US Equity"
"74","XRAY US Equity"
"75","COO US Equity"
"76","CAH US Equity"
"77","LONN VX Equity"
"78","BMY US Equity"
"79","HNT US Equity"
"80","STJ US Equity"
"81","SAZ GR Equity"
"82","CRL US Equity"
"83","A US Equity"
"84","EI FP Equity"
"85","ICLL AV Equity"
"86","BAX US Equity"
