"","x"
"1","ACAD US Equity"
"2","ESPR US Equity"
"3","ACHN US Equity"
"4","MNKD US Equity"
"5","TGTX US Equity"
"6","NLNK US Equity"
"7","TXMD US Equity"
"8","FOLD US Equity"
"9","SRPT US Equity"
"10","CEMP US Equity"
"11","TSRO US Equity"
"12","RARE US Equity"
"13","AXDX US Equity"
"14","NBIX US Equity"
"15","RLYP US Equity"
"16","KITE US Equity"
"17","INSM US Equity"
"18","ZIOP US Equity"
"19","GLPG NA Equity"
"20","ARRY US Equity"
"21","DPLO US Equity"
"22","PBYI US Equity"
"23","BLUE US Equity"
"24","CLVS US Equity"
"25","KND US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
