"","x"
"1","ALXN US Equity"
"2","BMRN US Equity"
"3","AMAG US Equity"
"4","ARNA US Equity"
"5","XNPT US Equity"
"6","REGN US Equity"
"7","PGNX US Equity"
"8","MNKD US Equity"
"9","MOH US Equity"
"10","IONS US Equity"
"11","CNC US Equity"
"12","THC US Equity"
"13","SAN FP Equity"
"14","EXEL US Equity"
"15","ITMN US Equity"
"16","VRTX US Equity"
"17","ILMN US Equity"
"18","GTXI US Equity"
"19","INVA US Equity"
"20","MYGN US Equity"
"21","VPHM US Equity"
"22","ALNY US Equity"
"23","HLS US Equity"
"24","SVNTQ US Equity"
"25","UTHR US Equity"
"26","JNJ US Equity"
"27","PFE US Equity"
"28","NOVN VX Equity"
"29","ROG VX Equity"
"30","MRK US Equity"
