"","x"
"1","ALXN US Equity"
"2","KERX US Equity"
"3","ILMN US Equity"
"4","ROG VX Equity"
"5","SAN FP Equity"
"6","NOVN VX Equity"
"7","MNTA US Equity"
"8","REGN US Equity"
"9","AMED US Equity"
"10","VPHM US Equity"
"11","PFE US Equity"
"12","UNH US Equity"
"13","LCAV US Equity"
"14","MNKD US Equity"
"15","JNJ US Equity"
"16","THC US Equity"
"17","ARNA US Equity"
"18","DNA US Equity"
"19","GSK LN Equity"
"20","PBH US Equity"
"21","VRTX US Equity"
"22","CNC US Equity"
"23","EXEL US Equity"
"24","LGND US Equity"
"25","NVLN CN Equity"
"26","PGNX US Equity"
"27","GERN US Equity"
"28","ANTM US Equity"
"29","NKTR US Equity"
"30","MOH US Equity"
"31","KND US Equity"
"32","VIVO US Equity"
"33","ISRG US Equity"
"34","HOLX US Equity"
"35","BMRN US Equity"
"36","WCG US Equity"
"37","CBST US Equity"
"38","AMGN US Equity"
"39","TVTY US Equity"
"40","CMX US Equity"
"41","AET US Equity"
"42","LIVN US Equity"
"43","CYBX US Equity"
"44","OCR US Equity"
"45","WYE US Equity"
"46","WST US Equity"
"47","MDCO US Equity"
"48","CELG US Equity"
"49","ALKS US Equity"
"50","SLXP US Equity"
"51","ITMN US Equity"
"52","ESRX US Equity"
"53","AZN LN Equity"
"54","UTHR US Equity"
"55","MRK US Equity"
"56","PDLI US Equity"
"57","VRX CN Equity"
"58","PRXL US Equity"
"59","CHE US Equity"
"60","AMSG US Equity"
"61","EVHC US Equity"
"62","HUM US Equity"
"63","MYGN US Equity"
"64","LPNT US Equity"
"65","MHS US Equity"
"66","1321686D US Equity"
"67","USNA US Equity"
"68","GILD US Equity"
"69","MDT US Equity"
"70","THOR US Equity"
"71","CAH US Equity"
"72","LLY US Equity"
"73","WOOF US Equity"
"74","MCK US Equity"
"75","ABT US Equity"
"76","CVD US Equity"
"77","SRDX US Equity"
"78","BIIB US Equity"
"79","DHR US Equity"
"80","CI US Equity"
"81","BSX US Equity"
"82","ACL US Equity"
"83","PDCO US Equity"
"84","QGEN US Equity"
"85","AFFX US Equity"
"86","OMI US Equity"
"87","ITGR US Equity"
"88","CLS1 GR Equity"
"89","ARTC US Equity"
"90","PHIA NA Equity"
"91","BLU CN Equity"
"92","ENDP US Equity"
"93","MGLN US Equity"
"94","KVPHQ US Equity"
"95","ICUI US Equity"
"96","CRL US Equity"
"97","RMD US Equity"
"98","CYH US Equity"
"99","FRX US Equity"
"100","BMY US Equity"
"101","INVA US Equity"
"102","COO US Equity"
"103","A US Equity"
"104","SGP US Equity"
"105","SYK US Equity"
"106","HAE US Equity"
"107","CBM US Equity"
"108","UHS US Equity"
"109","ABC US Equity"
"110","GN DC Equity"
"111","HNT US Equity"
"112","SYST VX Equity"
"113","HSIC US Equity"
"114","SHP LN Equity"
"115","ZBH US Equity"
"116","BAYN GR Equity"
"117","CNMD US Equity"
"118","MRK GR Equity"
"119","1284849D US Equity"
"120","HMA US Equity"
"121","1255459D US Equity"
"122","TFX US Equity"
"123","CVH US Equity"
"124","STJ US Equity"
"125","PKI US Equity"
"126","HGSI US Equity"
"127","NDN CN Equity"
"128","DVA US Equity"
"129","IART US Equity"
"130","VAR US Equity"
"131","LUN DC Equity"
"132","UCB BB Equity"
"133","BAX US Equity"
"134","WAT US Equity"
"135","HSP US Equity"
"136","AB/ LN Equity"
"137","MYL US Equity"
"138","TECH US Equity"
"139","BIO US Equity"
"140","BCR US Equity"
"141","PRGO US Equity"
"142","NOVOB DC Equity"
"143","STE US Equity"
"144","1339679D US Equity"
"145","CONR US Equity"
"146","XRAY US Equity"
"147","SN/ LN Equity"
"148","GENZ US Equity"
"149","CVTX US Equity"
"150","EI FP Equity"
"151","MD US Equity"
"152","TMO US Equity"
"153","FME GR Equity"
"154","DGX US Equity"
"155","AGN US Equity"
"156","BDX US Equity"
"157","LONN VX Equity"
"158","PLL US Equity"
"159","ELN ID Equity"
"160","IDXX US Equity"
"161","CRA US Equity"
"162","SCH GR Equity"
"163","SEO VX Equity"
"164","GEN DC Equity"
"165","LH US Equity"
"166","LNCR US Equity"
"167","MEDI US Equity"
"168","WDH DC Equity"
"169","STMN SW Equity"
"170","EW US Equity"
"171","0964591D US Equity"
"172","ZGEN US Equity"
"173","MEDX US Equity"
"174","2758954Q US Equity"
"175","HCR US Equity"
"176","HRC US Equity"
"177","AMLN US Equity"
"178","SOON VX Equity"
"179","BRL US Equity"
"180","MTD US Equity"
"181","FRE GR Equity"
"182","IPN FP Equity"
"183","SEPR US Equity"
"184","SIE US Equity"
"185","NOBN SW Equity"
"186","COM CN Equity"
"187","BIM FP Equity"
"188","RHK GR Equity"
"189","HLS US Equity"
"190","BKD US Equity"
"191","CEPH US Equity"
"192","ICOS US Equity"
"193","KRKG SV Equity"
"194","TNOX US Equity"
"195","YPSN SW Equity"
"196","KG US Equity"
"197","SRZ GR Equity"
"198","3437127Q US Equity"
"199","DADE US Equity"
"200","BOL US Equity"
"201","BEC US Equity"
"202","OSIP US Equity"
"203","0202445Q US Equity"
"204","8397627Q US Equity"
"205","PPDI US Equity"
"206","VMSI US Equity"
"207","0945329D US Equity"
"208","RICHT HB Equity"
"209","OME BB Equity"
"210","CRXL NA Equity"
"211","ZEL SM Equity"
"212","1541946D US Equity"
"213","3122066Q US Equity"
"214","SRZ US Equity"
"215","0623514D US Equity"
"216","0991739D US Equity"
"217","COLOB DC Equity"
"218","GDS FP Equity"
"219","AMP IM Equity"
"220","APPX US Equity"
"221","PHM SM Equity"
"222","ACT IR Equity"
"223","KCI US Equity"
"224","GETIB SS Equity"
"225","RESP US Equity"
"226","AHG US Equity"
"227","ATLN SW Equity"
"228","VIFN VX Equity"
"229","NTY US Equity"
"230","EXE CN Equity"
"231","MNT US Equity"
"232","MEDIQ NA Equity"
"233","FAE SM Equity"
"234","4107485Q US Equity"
"235","AGP US Equity"
"236","IVC US Equity"
"237","KYPH US Equity"
"238","CHSI US Equity"
"239","UDG LN Equity"
"240","1280452D CN Equity"
"241","ORP FP Equity"
"242","PSSI US Equity"
"243","MOGN US Equity"
"244","MRX US Equity"
"245","ZEN CP Equity"
"246","1519026D LN Equity"
"247","SRN IM Equity"
"248","SAZ GR Equity"
"249","NRPH US Equity"
"250","2997841Q US Equity"
"251","MEDAA SS Equity"
"252","3527570Q US Equity"
"253","UAM US Equity"
"254","REC IM Equity"
"255","EKTAB SS Equity"
"256","ARXT US Equity"
"257","ARRO US Equity"
"258","VARI US Equity"
"259","PLVARA CZ Equity"
"260","EGIS HB Equity"
"261","AMMD US Equity"
"262","RTSX US Equity"
"263","ALKB DC Equity"
"264","8383310Q US Equity"
"265","1248911D US Equity"
"266","EVVV US Equity"
"267","BSTE US Equity"
"268","BANB SW Equity"
"269","BSLN SW Equity"
"270","QMED SS Equity"
"271","DNEX US Equity"
"272","GHCI US Equity"
"273","BLUD US Equity"
"274","SPPN SW Equity"
"275","OO US Equity"
"276","ALOG US Equity"
"277","PMTI US Equity"
"278","3339188Q US Equity"
"279","MATK US Equity"
"280","3509785Q CN Equity"
"281","VAS US Equity"
"282","WHM LN Equity"
"283","VTIV US Equity"
"284","AFX GR Equity"
"285","LIFC US Equity"
"286","DIGE US Equity"
"287","BIO PW Equity"
"288","PRAI US Equity"
"289","FOXH US Equity"
"290","OSSR IR Equity"
"291","ALR US Equity"
"292","SONO US Equity"
"293","SIRO US Equity"
"294","ICLR US Equity"
"295","OFIX US Equity"
