rowno,close,high,low,open,time,volumefrom,volumeto
565,0.22100000,0.25010000,0.20520000,0.21060000,2018-02-09 03:00:00,449432.72000000,99324.63000000
566,0.21630000,0.23820000,0.21030000,0.21770000,2018-02-10 03:00:00,457379.99000000,98931.29000000
567,0.20140000,0.20960000,0.19030000,0.20410000,2018-02-11 03:00:00,328861.04000000,66232.61000000
568,0.21480000,0.22450000,0.20050000,0.22200000,2018-02-12 03:00:00,345182.96000000,74145.30000000
569,0.20460000,0.21400000,0.16720000,0.20590000,2018-02-13 03:00:00,347987.09000000,71198.16000000
570,0.23100000,0.23880000,0.22030000,0.22720000,2018-02-14 03:00:00,294086.11000000,67933.89000000
571,0.24200000,0.24710000,0.23410000,0.24430000,2018-02-15 03:00:00,293224.86000000,70960.42000000
572,0.24740000,0.24920000,0.24250000,0.24580000,2018-02-16 03:00:00,255555.37000000,63224.40000000
573,0.26630000,0.27630000,0.22070000,0.26940000,2018-02-17 03:00:00,237059.63000000,63128.98000000
574,0.23260000,0.25080000,0.22150000,0.25000000,2018-02-18 03:00:00,290668.16000000,67609.41000000
575,0.26260000,0.27940000,0.24150000,0.24970000,2018-02-19 03:00:00,295433.07000000,77580.72000000
576,0.25900000,0.26760000,0.24280000,0.26430000,2018-02-20 03:00:00,273961.68000000,70956.08000000
577,0.22490000,0.24170000,0.19930000,0.24120000,2018-02-21 03:00:00,321063.41000000,72207.16000000
578,0.18580000,0.21260000,0.18360000,0.21130000,2018-02-22 03:00:00,264406.72000000,49126.77000000
579,0.19170000,0.20230000,0.18950000,0.19200000,2018-02-23 03:00:00,294767.73000000,56506.97000000
580,0.18300000,0.18480000,0.18090000,0.18290000,2018-02-24 03:00:00,104269.29000000,19081.28000000
581,0.21220000,0.22310000,0.17910000,0.18120000,2018-02-25 03:00:00,68691.93000000,14576.43000000
582,0.21700000,0.24790000,0.20640000,0.22800000,2018-02-26 03:00:00,293307.89000000,63647.81000000
583,0.27440000,0.28700000,0.22260000,0.22260000,2018-02-27 03:00:00,199875.82000000,54845.93000000
584,0.28930000,0.29530000,0.26010000,0.26920000,2018-02-28 03:00:00,287474.63000000,83166.41000000
585,0.41380000,0.49170000,0.29650000,0.30590000,2018-03-01 03:00:00,288209.88000000,119261.25000000
586,0.41460000,0.52730000,0.38100000,0.41810000,2018-03-02 03:00:00,353804.39000000,146687.30000000
587,0.41330000,0.49520000,0.39810000,0.43040000,2018-03-03 03:00:00,278630.80000000,115158.11000000
588,0.39920000,0.51770000,0.39910000,0.41470000,2018-03-04 03:00:00,293827.54000000,117295.95000000
589,0.40280000,0.44620000,0.27690000,0.39700000,2018-03-05 03:00:00,262566.52000000,105761.79000000
590,0.35170000,0.39840000,0.35050000,0.37800000,2018-03-06 03:00:00,337729.96000000,118779.63000000
591,0.32660000,0.32940000,0.32420000,0.32530000,2018-03-07 03:00:00,287250.86000000,93816.13000000
592,0.26510000,0.32610000,0.25120000,0.30650000,2018-03-08 03:00:00,322368.66000000,85459.93000000
593,0.25050000,0.31860000,0.24860000,0.26320000,2018-03-09 03:00:00,311297.89000000,77980.12000000
594,0.25550000,0.27980000,0.23810000,0.23810000,2018-03-10 03:00:00,342400.38000000,87483.30000000
595,0.26340000,0.28790000,0.25660000,0.27720000,2018-03-11 03:00:00,273995.55000000,72170.43000000
596,0.22640000,0.25720000,0.22130000,0.25230000,2018-03-12 03:00:00,331654.72000000,75086.63000000
597,0.23520000,0.23950000,0.22460000,0.22680000,2018-03-13 03:00:00,335799.49000000,78980.04000000
598,0.20910000,0.23040000,0.20880000,0.21100000,2018-03-14 03:00:00,302444.78000000,63241.20000000
599,0.24860000,0.26190000,0.20330000,0.21030000,2018-03-15 03:00:00,198665.24000000,49388.18000000
600,0.24390000,0.26240000,0.23810000,0.25670000,2018-03-16 03:00:00,231143.21000000,56375.83000000
