dt,value.V1
2014-01-01,1
2014-01-02,0.999819252410637
2014-01-03,1.00001275173202
2014-01-06,0.9748993779633
2014-01-07,0.971693607939504
2014-01-08,0.985384195964085
2014-01-09,0.959577686956168
2014-01-10,0.971613089243078
2014-01-13,0.971771878960142
2014-01-14,0.941700614314363
2014-01-15,0.956749650203411
2014-01-16,0.947864389178054
2014-01-17,0.948639633897259
2014-01-20,0.946683466294337
2014-01-21,0.962011960754835
2014-01-22,0.959800005071758
2014-01-23,0.96118067827833
2014-01-24,0.950922313141666
2014-01-27,0.926243818551661
2014-01-28,0.923883307206021
2014-01-29,0.960341365059841
2014-01-30,0.930425135552751
2014-01-31,0.920602504806376
2014-02-03,0.910342204361205
2014-02-04,0.870423200366606
2014-02-05,0.883345395751493
2014-02-06,0.881154204950478
2014-02-07,0.895024949093872
2014-02-10,0.908147103099204
2014-02-11,0.908489123474439
2014-02-12,0.894153626389665
2014-02-13,0.884235850528966
2014-02-14,0.872784296580565
2014-02-17,0.872110155717665
2014-02-18,0.906560115838014
2014-02-19,0.900678573912017
2014-02-20,0.877919317585417
2014-02-21,0.901774651915099
2014-02-24,0.907292857059754
2014-02-25,0.931341184657317
2014-02-26,0.92163417148775
2014-02-27,0.91856074586255
2014-02-28,0.919937409041713
2014-03-03,0.916622289170019
2014-03-04,0.91569094132427
2014-03-05,0.925737393514357
2014-03-06,0.932653147938191
2014-03-07,0.934351784911358
2014-03-10,0.923977657913135
2014-03-11,0.928443862561888
2014-03-12,0.901429382365872
2014-03-13,0.905886161005204
2014-03-14,0.880138415637908
2014-03-17,0.874621247928369
2014-03-18,0.882979599719639
2014-03-19,0.889508400863025
2014-03-20,0.866578047154522
2014-03-21,0.86695995026545
2014-03-24,0.886599347413183
2014-03-25,0.88318318682564
2014-03-26,0.89050612719811
2014-03-27,0.905702492564183
2014-03-28,0.906819721360499
2014-03-31,0.916458564835596
2014-04-01,0.917282470608567
2014-04-02,0.90910208915502
2014-04-03,0.916123204082211
2014-04-04,0.912570355926826
2014-04-07,0.900343161431381
2014-04-08,0.890019264764302
2014-04-09,0.880213971241435
2014-04-10,0.889494963481796
2014-04-11,0.872700666306247
2014-04-14,0.869896595387137
2014-04-15,0.875559517822432
2014-04-16,0.88863188160766
2014-04-17,0.894055413072439
2014-04-18,0.899175617330818
2014-04-21,0.898582701683974
2014-04-22,0.892100367740504
2014-04-23,0.904698861841901
2014-04-24,0.901058327151266
2014-04-25,0.90727964112653
2014-04-28,0.893864355447108
2014-04-29,0.893858975145895
2014-04-30,0.891452932125367
2014-05-01,0.896039480336098
2014-05-02,0.892372380668244
2014-05-05,0.892331010800582
2014-05-06,0.89237755249777
2014-05-07,0.879154836059625
2014-05-08,0.88683529176238
2014-05-09,0.883504772596932
2014-05-12,0.872594494249633
2014-05-13,0.879920752366737
2014-05-14,0.885798132622039
2014-05-15,0.881052865152707
2014-05-16,0.871673839949873
2014-05-19,0.86734703364933
2014-05-20,0.86869923100065
2014-05-21,0.866732492125146
2014-05-22,0.875006776524152
2014-05-23,0.888793988616021
2014-05-26,0.891562280344775
2014-05-27,0.893490119081615
2014-05-28,0.896795058132109
2014-05-29,0.905822410203427
2014-05-30,0.896940848999138
2014-06-02,0.901050559161778
2014-06-03,0.906989545212633
2014-06-04,0.906903409626038
2014-06-05,0.919764801875582
2014-06-06,0.914731737591975
2014-06-09,0.910493821498049
2014-06-10,0.909051140541733
2014-06-11,0.918016981791144
2014-06-12,0.912932401238218
2014-06-13,0.916087055393856
2014-06-16,0.911791042345136
2014-06-17,0.918309507179108
2014-06-18,0.936163785751474
2014-06-19,0.947772265647815
2014-06-20,0.949162115341399
2014-06-23,0.950566820817911
2014-06-24,0.946206710381116
2014-06-25,0.941516148063426
2014-06-26,0.93901845658885
2014-06-27,0.93152723080586
2014-06-30,0.9367998348912
2014-07-01,0.952844327668731
2014-07-02,0.961955197369808
2014-07-03,0.955383973568978
2014-07-04,0.961720416550811
2014-07-07,0.960554677114593
2014-07-08,0.95362727841522
2014-07-09,0.946367994151983
2014-07-10,0.941694934363365
2014-07-11,0.935490066622777
2014-07-14,0.93525965623956
2014-07-15,0.9409363431522
2014-07-16,0.944874039828536
2014-07-17,0.94800854144195
2014-07-18,0.939518125244588
2014-07-21,0.939116980112517
2014-07-22,0.945149791277431
2014-07-23,0.947583213725815
2014-07-24,0.938624760575771
2014-07-25,0.955169139380073
2014-07-28,0.960301909241223
2014-07-29,0.975445791004489
2014-07-30,0.967329943683312
2014-07-31,0.964546527376806
2014-08-01,0.962961354903641
2014-08-04,0.962247937641156
2014-08-05,0.955117013606963
2014-08-06,0.959439532505676
2014-08-07,0.965308621287901
2014-08-08,0.941981586127366
2014-08-11,0.9609822991895
2014-08-12,0.962147543197927
2014-08-13,0.958037620416268
2014-08-14,0.967282273371875
2014-08-15,0.967761522659533
2014-08-18,0.967294314076575
2014-08-19,0.981917799133031
2014-08-20,0.97743935432105
2014-08-21,0.981674417132677
2014-08-22,0.974945357772713
2014-08-25,0.978901618505787
2014-08-26,0.97108576039959
2014-08-27,0.979085622003489
2014-08-28,0.978186273788865
2014-08-29,0.971837147519807
2014-09-01,0.969007080316871
2014-09-02,0.971611257012215
2014-09-03,0.976722736400726
2014-09-04,0.970956317757572
2014-09-05,0.97171181691449
2014-09-08,0.96279017263914
2014-09-09,0.957907525716776
2014-09-10,0.962256513335192
2014-09-11,0.968803420784053
2014-09-12,0.970785653570062
2014-09-15,0.970442735409168
2014-09-16,0.969776807909829
2014-09-17,0.966834499654897
