"","V1"
"1",0.982081985219777
"2",0.951655451300736
"3",0.95175191278567
"4",0.911686864683957
"5",0.844171547616947
"6",0.834730136829142
"7",0.795207427045327
"8",0.802447263128468
"9",0.893423860839446
"10",0.856917964397603
"11",0.778604934388287
"12",0.822825940848083
"13",0.823931509259209
"14",0.868623287402786
"15",0.834981703207207
"16",0.81115178635706
"17",0.803187222154355
"18",0.765633739640722
"19",0.750252938878716
"20",0.835945547808639
"21",0.818132168221931
"22",0.841639348942462
"23",0.84456476827258
"24",0.834765718584408
"25",0.87171391667104
"26",0.825777966177646
"27",0.786081353726975
"28",0.815421918973013
"29",0.806838957853395
"30",0.786724048557491
"31",0.753882244666463
"32",0.80138751125216
"33",0.771755055605701
"34",0.75285997392933
"35",0.770893460676145
"36",0.722337394439021
"37",0.693400181307053
"38",0.731859610021708
"39",0.763445755517069
"40",0.737903907365016
"41",0.76384197373432
"42",0.767477444219855
"43",0.716763664106525
"44",0.732324872234592
"45",0.759156262115311
"46",0.728973496972653
"47",0.76270411225218
"48",0.803472185849292
"49",0.7970354152989
"50",0.808679262847671
"51",0.779545312022399
"52",0.790673986153527
"53",0.77872174612858
"54",0.811881311793689
"55",0.791297736372336
"56",0.783056573979346
"57",0.80056035122046
"58",0.789122242624327
"59",0.781275109172245
"60",0.783992496082247
"61",0.784368456859707
"62",0.7750944303605
"63",0.794903250389967
"64",0.796869727376732
"65",0.814404236398329
"66",0.809096189701154
"67",0.813441235778959
"68",0.802543497297419
"69",0.808660997399509
"70",0.795822815889688
"71",0.784863512620153
"72",0.783451307848916
"73",0.759850496067947
"74",0.756934485450701
"75",0.76350632337393
"76",0.737954680793179
"77",0.759172622024091
"78",0.735307176339386
"79",0.73984812829024
"80",0.75586203394216
"81",0.755255541330587
"82",0.772343031067947
"83",0.751733490311204
"84",0.736517594456715
"85",0.74638564663413
"86",0.772642422458269
"87",0.764899000285321
"88",0.779129221240844
"89",0.796254027888009
"90",0.7912550949045
"91",0.760020021398496
"92",0.761909392023824
"93",0.759503698870962
"94",0.755401841983228
"95",0.725802244246594
"96",0.725009866393173
"97",0.716912026891103
"98",0.721912284476147
"99",0.700234332475092
"100",0.714329666834627
"101",0.704216373558232
"102",0.698779396862017
"103",0.699332722045836
"104",0.675277993314802
"105",0.670964093635329
"106",0.689476831152456
"107",0.669550975548643
"108",0.666101214528532
"109",0.639807338547901
"110",0.678638302389371
"111",0.679669606416239
"112",0.695795258153141
"113",0.695743933997066
"114",0.694638458333619
"115",0.720892915022681
"116",0.735559708443351
"117",0.735937940296234
"118",0.723309034893259
"119",0.759861598821973
"120",0.748816910920826
"121",0.745931403040077
"122",0.759018136951833
"123",0.735318973280163
"124",0.72641237531445
"125",0.7405184917293
"126",0.729427794824006
"127",0.753335948618278
"128",0.777593729223237
"129",0.770117666515685
"130",0.74893083974943
"131",0.752339181753018
"132",0.776291590307108
"133",0.785405677405529
"134",0.765485003442294
"135",0.757449512715419
"136",0.756692336775909
"137",0.753486850390116
"138",0.718014752769109
"139",0.751751728612922
"140",0.749036794669675
"141",0.756184412319387
"142",0.776895893795782
"143",0.755744534265652
"144",0.756804487250018
"145",0.784850942796846
"146",0.802859525799977
"147",0.786950421210806
"148",0.816832179201866
"149",0.816659153245228
"150",0.814608013843096
"151",0.800559257677256
"152",0.801655855714454
"153",0.793592733128966
"154",0.786243973232689
"155",0.770712283764227
"156",0.783696164991217
"157",0.776793994059586
"158",0.788069957656843
"159",0.776693439971218
"160",0.780317318519781
"161",0.77611246897706
"162",0.76797337597733
"163",0.779280298336354
"164",0.775177276567347
"165",0.789216766225834
"166",0.798425445154638
"167",0.809927009654447
"168",0.795890963384828
"169",0.790628265514332
"170",0.797385828759151
"171",0.792444463679464
"172",0.789719964980532
"173",0.802456113541278
"174",0.813539223781283
"175",0.803645256069952
"176",0.795393211500043
"177",0.787375499679363
"178",0.777256357014105
"179",0.783588920375979
"180",0.777535413539793
"181",0.77675513254617
"182",0.760609556809757
"183",0.770737483888517
"184",0.777053799947041
"185",0.788493793423337
"186",0.798904415619491
"187",0.798829881244416
"188",0.799165063415871
"189",0.808864782185493
"190",0.780018245274839
"191",0.752448238921433
"192",0.738882772339905
"193",0.735849802996902
"194",0.737343186414479
"195",0.734036736399341
"196",0.756279596816624
"197",0.761020549425156
"198",0.795950802261241
"199",0.798757141419744
"200",0.795207922380961
"201",0.807891407414871
"202",0.808712088693599
"203",0.811454282270287
"204",0.828882047101781
"205",0.846929479270853
"206",0.844485400092071
"207",0.840101452657075
"208",0.841586631745198
"209",0.85468878627336
"210",0.857282495007091
"211",0.871037054807615
"212",0.878160863717279
"213",0.873730884984551
"214",0.862826309114865
"215",0.866411694394978
"216",0.861022040736443
"217",0.853987075182609
"218",0.863472067714071
"219",0.876502854706917
"220",0.870862577855578
"221",0.846111059824545
"222",0.848053883069894
"223",0.864141803143972
"224",0.864647294357511
"225",0.881539792090574
"226",0.875327951300786
"227",0.876864028266059
"228",0.876179478872951
"229",0.878642111515905
"230",0.875160117150257
"231",0.857297074983595
"232",0.840458719549173
"233",0.832837687550097
"234",0.835863944338092
"235",0.857914955629675
"236",0.873944027166866
"237",0.890652145918997
"238",0.90478782581821
"239",0.90445292793866
"240",0.904810098645575
