dt,value.V1
2008-10-01,0.98171894951573
2008-10-02,0.9522486841062
2008-10-03,0.952265517247518
2008-10-06,0.91147143849557
2008-10-07,0.846128626817702
2008-10-08,0.837207559034266
2008-10-09,0.799337135530801
2008-10-10,0.804937376458206
2008-10-13,0.893874881613618
2008-10-14,0.856400733880031
2008-10-15,0.778832666461144
2008-10-16,0.82233581208729
2008-10-17,0.825534860864327
2008-10-20,0.869961199805375
2008-10-21,0.838198628097689
2008-10-22,0.815165033567044
2008-10-23,0.806152833866144
2008-10-24,0.77010037586166
2008-10-27,0.755762217952636
2008-10-28,0.838891998668398
2008-10-29,0.823417875710976
2008-10-30,0.847000425085197
2008-10-31,0.848242656457359
2008-11-03,0.838686114550951
2008-11-04,0.876463157078136
2008-11-05,0.83242130800273
2008-11-06,0.796944656949134
2008-11-07,0.826080111688203
2008-11-10,0.820474814616748
2008-11-11,0.803454971568485
2008-11-12,0.770845435214762
2008-11-13,0.815657305081468
2008-11-14,0.787162289506795
2008-11-17,0.766963282658382
2008-11-18,0.784617139623363
2008-11-19,0.735881796264278
2008-11-20,0.70733423248691
2008-11-21,0.744304680654583
2008-11-24,0.775937713837544
2008-11-25,0.749598346650219
2008-11-26,0.769968505328338
2008-11-28,0.772158722339618
2008-12-01,0.722396672111588
2008-12-02,0.737228206367759
2008-12-03,0.761376176453053
2008-12-04,0.731394760930992
2008-12-05,0.763390119186022
2008-12-08,0.805054407253676
2008-12-09,0.798110618839512
2008-12-10,0.81030016361993
2008-12-11,0.782273323407307
2008-12-12,0.793373159261313
2008-12-15,0.782398257435617
2008-12-16,0.815906437647577
2008-12-17,0.79669969305595
2008-12-18,0.789321710138837
2008-12-19,0.806142898395504
2008-12-22,0.79440622233186
2008-12-23,0.787196880492403
2008-12-24,0.790533116365178
2008-12-26,0.790956729064221
2008-12-29,0.781187824996563
2008-12-30,0.799692434598664
2008-12-31,0.801988450318698
2009-01-02,0.823112413011245
2009-01-05,0.820134744360847
2009-01-06,0.825645380486534
2009-01-07,0.811147256522555
2009-01-08,0.818287932914574
2009-01-09,0.804942584171723
2009-01-12,0.792114247094875
2009-01-13,0.792706557862004
2009-01-14,0.765818445449696
2009-01-15,0.766658517589774
2009-01-16,0.775696422722698
2009-01-20,0.74561084100131
2009-01-21,0.769788424176319
2009-01-22,0.753860841805078
2009-01-23,0.754895369611133
2009-01-26,0.769071326831473
2009-01-27,0.777050528405861
2009-01-28,0.79423415483936
2009-01-29,0.774383211722709
2009-01-30,0.755955151108634
2009-02-02,0.767754645450109
2009-02-03,0.785545255667611
2009-02-04,0.785090509701179
2009-02-05,0.799539240574109
2009-02-06,0.817092990310156
2009-02-09,0.816793615651236
2009-02-10,0.784799593335524
2009-02-11,0.786181620004415
2009-02-12,0.783200799092937
2009-02-13,0.779805965933343
2009-02-17,0.747894669157748
2009-02-18,0.749108909274107
2009-02-19,0.735319847474879
2009-02-20,0.733557709258133
2009-02-23,0.70940840073137
2009-02-24,0.727778074011276
2009-02-25,0.721097946789252
2009-02-26,0.708930378044408
2009-02-27,0.706054584987417
2009-03-02,0.684353150275272
2009-03-03,0.679920018980429
2009-03-04,0.697944789780778
2009-03-05,0.676581068047665
2009-03-06,0.673975943290299
2009-03-09,0.656555941251979
2009-03-10,0.697466590515372
2009-03-11,0.706129024705657
2009-03-12,0.722061962510907
2009-03-13,0.722579898751249
2009-03-16,0.718790864490286
2009-03-17,0.741685323264732
2009-03-18,0.7587739934714
2009-03-19,0.765205696559176
2009-03-20,0.752151431252666
2009-03-23,0.791163287615548
2009-03-24,0.777185687110951
2009-03-25,0.777932778835648
2009-03-26,0.79661543545591
2009-03-27,0.766668015164652
2009-03-30,0.752625044956387
2009-03-31,0.764453043839685
2009-04-01,0.754113682189083
2009-04-02,0.77899483625654
2009-04-03,0.802290573217013
2009-04-06,0.794867342578906
2009-04-07,0.773384048024107
2009-04-08,0.77721600980014
2009-04-09,0.80220255988611
2009-04-13,0.810862039685073
2009-04-14,0.7911316675201
2009-04-15,0.783094888406087
2009-04-16,0.783223505104046
2009-04-17,0.779805694918847
2009-04-20,0.743653854620557
2009-04-21,0.777185694952415
2009-04-22,0.775161583962922
2009-04-23,0.782853366243143
2009-04-24,0.803926395247027
2009-04-27,0.782009038182107
2009-04-28,0.782284564169028
2009-04-29,0.809546405751721
2009-04-30,0.827469443406301
2009-05-01,0.810722350710385
2009-05-04,0.840995300144906
2009-05-05,0.841001840079861
2009-05-06,0.839357532364747
2009-05-07,0.824598573111945
2009-05-08,0.825564315996293
2009-05-11,0.818694311293987
2009-05-12,0.811110933948889
2009-05-13,0.794953071619254
2009-05-14,0.808350854093311
2009-05-15,0.800765600691082
2009-05-18,0.812669732730263
2009-05-19,0.801879289854763
2009-05-20,0.805505581540197
2009-05-21,0.800547629131748
2009-05-22,0.792447715349805
2009-05-26,0.804480628395214
2009-05-27,0.800183260345233
2009-05-28,0.814990643604495
2009-05-29,0.824553806575268
2009-06-01,0.837494445305407
2009-06-02,0.823327735216573
2009-06-03,0.81703726357326
2009-06-04,0.823530180036362
2009-06-05,0.818294696696176
2009-06-08,0.815153826793768
2009-06-09,0.828795163489671
2009-06-10,0.839548832147529
2009-06-11,0.83041258012058
2009-06-12,0.822548211171175
2009-06-15,0.813426450500567
2009-06-16,0.80366296947568
2009-06-17,0.810869484423749
2009-06-18,0.804478074571856
2009-06-19,0.80395857357734
2009-06-22,0.786400226208609
2009-06-23,0.796366142387942
2009-06-24,0.803911464156029
2009-06-25,0.815624055945364
2009-06-26,0.825726214994054
